sample,Name,NumReads
BD0018,N2_gene,0.0
BD0018,ORF8,0.0
BD0018,ORF1a,13.0
BD0018,SC2,0.0
BD0018,RNASE_P,9143.0
BD0018,E_gene,11657.0
BD0018,N1_gene,22.0
BD0019,N1_gene,59.0
BD0019,N2_gene,0.0
BD0019,E_gene,1131.0
BD0019,RNASE_P,7094.0
BD0019,SC2,0.0
BD0019,ORF8,0.0
BD0019,ORF1a,0.0
BD0020,ORF1a,3.0
BD0020,ORF8,0.0
BD0020,N1_gene,74.0
BD0020,N2_gene,0.0
BD0020,E_gene,4382.0
BD0020,RNASE_P,8875.0
BD0020,SC2,0.0
BD0021,N1_gene,27.0
BD0021,N2_gene,0.0
BD0021,E_gene,2928.0
BD0021,ORF8,0.0
BD0021,SC2,0.0
BD0021,ORF1a,0.0
BD0021,RNASE_P,9719.0
BD0022,E_gene,973.0
BD0022,RNASE_P,12108.0
BD0022,SC2,0.0
BD0022,ORF1a,1.0
BD0022,ORF8,0.0
BD0022,N1_gene,23.0
BD0022,N2_gene,0.0
BD0023,ORF1a,0.0
BD0023,ORF8,0.0
BD0023,E_gene,321.0
BD0023,N2_gene,0.0
BD0023,N1_gene,3.0
BD0023,RNASE_P,2897.0
BD0023,SC2,0.0
BD0024,ORF1a,0.0
BD0024,ORF8,0.0
BD0024,SC2,0.0
BD0024,N1_gene,146.0
BD0024,N2_gene,0.0
BD0024,E_gene,1518.0
BD0024,RNASE_P,4592.0
BD0025,N1_gene,49.0
BD0025,N2_gene,0.0
BD0025,E_gene,4614.0
BD0025,RNASE_P,13939.0
BD0025,SC2,0.0
BD0025,ORF1a,4.0
BD0025,ORF8,0.0
BD0026,N1_gene,48.0
BD0026,ORF8,0.0
BD0026,RNASE_P,4232.0
BD0026,SC2,0.0
BD0026,ORF1a,0.0
BD0026,N2_gene,0.0
BD0026,E_gene,671.0
BD0027,SC2,0.0
BD0027,RNASE_P,5358.0
BD0027,E_gene,321.0
BD0027,N2_gene,0.0
BD0027,N1_gene,12.0
BD0027,ORF1a,1.0
BD0027,ORF8,0.0
BD0028,ORF8,0.0
BD0028,N1_gene,3.0
BD0028,N2_gene,0.0
BD0028,E_gene,320.0
BD0028,RNASE_P,5394.0
BD0028,SC2,0.0
BD0028,ORF1a,2.0
BD0029,ORF8,0.0
BD0029,ORF1a,34.0
BD0029,SC2,0.0
BD0029,RNASE_P,6151.0
BD0029,E_gene,8913.0
BD0029,N2_gene,0.0
BD0029,N1_gene,19.0
BD0030,N1_gene,55.0
BD0030,ORF8,0.0
BD0030,ORF1a,1.0
BD0030,SC2,0.0
BD0030,RNASE_P,4248.0
BD0030,E_gene,1437.0
BD0030,N2_gene,0.0
BD0031,E_gene,140.0
BD0031,RNASE_P,3179.0
BD0031,SC2,0.0
BD0031,ORF1a,0.0
BD0031,ORF8,0.0
BD0031,N2_gene,0.0
BD0031,N1_gene,6.0
BD0032,N2_gene,0.0
BD0032,N1_gene,432.0
BD0032,E_gene,1445.0
BD0032,RNASE_P,5020.0
BD0032,SC2,0.0
BD0032,ORF1a,3.0
BD0032,ORF8,0.0
BD0033,N1_gene,1126.0
BD0033,N2_gene,0.0
BD0033,E_gene,488.0
BD0033,RNASE_P,2567.0
BD0033,SC2,0.0
BD0033,ORF1a,4.0
BD0033,ORF8,0.0
BD0034,SC2,0.0
BD0034,RNASE_P,5964.0
BD0034,ORF1a,3.0
BD0034,ORF8,0.0
BD0034,N2_gene,0.0
BD0034,N1_gene,337.0
BD0034,E_gene,141.0
BD0035,N2_gene,0.0
BD0035,RNASE_P,1433.0
BD0035,ORF8,0.0
BD0035,N1_gene,13.0
BD0035,E_gene,99.0
BD0035,SC2,0.0
BD0035,ORF1a,0.0
BD0036,N1_gene,24.0
